1,36,15
2,17,10
3,7,25
4,20,3
5,47,11
6,62,10
7,73,23
8,97,7
9,96,20
10,16,19
11,72,5
12,1,18
13,76,23
14,73,20
15,60,22
16,4,5
17,18,6
18,62,3
19,65,8
20,61,25
21,63,22
22,98,14
23,31,12
24,68,16
25,81,9
26,26,14
27,71,12
28,67,6
29,82,23
30,87,8
31,27,4
32,35,21
33,77,9
34,10,1
35,23,13
36,36,16
37,92,10
38,87,20
39,8,6
40,53,9
41,34,3
42,42,10
43,10,5
44,51,1
45,50,20
46,98,17
47,48,20
48,73,21
49,76,21
50,46,13
51,80,13
52,93,3
53,67,15
54,75,4
55,41,14
56,75,20
57,56,15
58,53,4
59,77,6
60,25,10
61,5,17
62,10,2
63,22,6
64,32,14
65,69,13
66,21,13
67,40,11
68,64,14
69,65,16
70,96,23
71,70,2
72,35,18
73,44,6
74,5,24
75,3,8
76,90,19
77,95,23
78,59,12
79,23,17
80,96,20
81,29,21
82,80,6
83,15,14
84,95,13
85,56,13
86,58,23
87,31,20
88,55,9
89,89,24
90,68,10
91,27,14
92,6,14
93,69,23
94,98,19
95,15,9
96,44,14
97,61,7
98,9,18
99,70,6
100,50,24
101,27,5
102,11,3
103,14,1
104,69,5
105,93,21
106,35,3
107,53,21
108,69,25
109,6,23
110,17,5
111,45,25
112,58,6
113,85,13
114,49,14
115,61,12
116,44,12
117,10,11
118,96,23
119,16,25
120,57,16
121,39,5
122,27,22
123,99,19
124,5,19
125,90,25
126,42,24
127,97,5
128,25,3
129,62,18
130,82,20
131,36,5
132,19,3
133,78,1
134,88,25
135,1,17
136,19,24
137,48,12
138,93,19
139,61,6
140,43,15
141,81,7
142,39,4
143,16,21
144,57,2
145,66,19
146,92,7
147,59,14
148,44,16
149,70,25
150,26,24
151,38,13
152,74,14
153,22,14
154,79,15
155,58,15
156,34,11
157,30,5
158,86,11
159,23,14
160,43,17
161,95,9
162,49,17
163,90,10
164,92,12
165,12,19
166,66,1
167,98,15
168,28,14
169,52,1
170,73,3
171,5,1
172,38,9
173,90,18
174,47,19
175,38,14
176,44,12
177,43,13
178,23,15
179,73,7
180,100,22
181,39,5
182,82,24
183,30,24
184,55,3
185,89,20
186,46,21
187,72,13
188,19,19
189,50,20
190,93,20
191,93,8
192,65,23
193,97,22
194,76,19
195,26,18
196,55,22
197,24,23
198,88,3
199,43,6
200,8,23
201,27,9
202,33,20
203,70,17
204,99,19
205,66,25
206,55,17
207,42,18
208,51,17
209,98,1
210,15,22
211,56,21
212,66,21
213,74,7
214,46,9
215,62,13
216,57,21
217,73,25
218,58,7
219,52,9
220,65,4
221,54,11
222,92,18
223,36,1
224,30,19
225,39,16
226,9,23
227,51,20
228,42,7
229,58,5
230,34,2
231,65,8
232,98,6
233,9,19
234,19,8
235,19,15
236,97,25
237,4,14
238,71,6
239,61,8
240,2,8
241,90,15
242,93,21
243,8,14
244,5,4
245,82,12
246,3,16
247,74,7
248,63,1
249,17,7
250,11,10
251,10,19
252,84,16
253,26,22
254,28,14
255,63,14
256,36,13
257,36,16
258,77,18
259,47,4
